zip,Zipcode name,City,State,County Name
60444,"MAZON, IL",MAZON,IL,GRUNDY
62957,"MC CLURE, IL",MC CLURE,IL,ALEXANDER
61050,"MC CONNELL, IL",MC CONNELL,IL,STEPHENSON
61754,"MC LEAN, IL",MC LEAN,IL,MCLEAN
62859,"MC LEANSBORO, IL",MC LEANSBORO,IL,HAMILTON
61335,"MC NABB, IL",MC NABB,IL,PUTNAM
60050,"MCHENRY, IL",MCHENRY,IL,MCHENRY
60051,"MCHENRY, IL",MCHENRY,IL,MCHENRY
62545,"MECHANICSBURG, IL",MECHANICSBURG,IL,SANGAMON
61460,"MEDIA, IL",MEDIA,IL,HENDERSON
60157,"MEDINAH, IL",MEDINAH,IL,DUPAGE
62063,"MEDORA, IL",MEDORA,IL,JERSEY
60160,"MELROSE PARK, IL",MELROSE PARK,IL,COOK
60161,"MELROSE PARK, IL",MELROSE PARK,IL,COOK
60164,"MELROSE PARK, IL",MELROSE PARK,IL,COOK
60952,"MELVIN, IL",MELVIN,IL,FORD
62259,"MENARD, IL",MENARD,IL,RANDOLPH
62351,"MENDON, IL",MENDON,IL,ADAMS
61342,"MENDOTA, IL",MENDOTA,IL,LA SALLE
62665,"MEREDOSIA, IL",MEREDOSIA,IL,MORGAN
61758,"MERNA, IL",MERNA,IL,MCLEAN
61548,"METAMORA, IL",METAMORA,IL,WOODFORD
61940,"METCALF, IL",METCALF,IL,EDGAR
62960,"METROPOLIS, IL",METROPOLIS,IL,MASSAC
62065,"MICHAEL, IL",MICHAEL,IL,CALHOUN
62666,"MIDDLETOWN, IL",MIDDLETOWN,IL,LOGAN
60445,"MIDLOTHIAN, IL",MIDLOTHIAN,IL,COOK
61264,"MILAN, IL",MILAN,IL,ROCK ISLAND
60953,"MILFORD, IL",MILFORD,IL,IROQUOIS
62862,"MILL SHOALS, IL",MILL SHOALS,IL,WHITE
60536,"MILLBROOK, IL",MILLBROOK,IL,KENDALL
61051,"MILLEDGEVILLE, IL",MILLEDGEVILLE,IL,CARROLL
60537,"MILLINGTON, IL",MILLINGTON,IL,KENDALL
62260,"MILLSTADT, IL",MILLSTADT,IL,SAINT CLAIR
61855,"MILMINE, IL",MILMINE,IL,PIATT
62352,"MILTON, IL",MILTON,IL,PIKE
61344,"MINERAL, IL",MINERAL,IL,BUREAU
61759,"MINIER, IL",MINIER,IL,TAZEWELL
61760,"MINONK, IL",MINONK,IL,WOODFORD
60447,"MINOOKA, IL",MINOOKA,IL,GRUNDY
62444,"MODE, IL",MODE,IL,SHELBY
62667,"MODESTO, IL",MODESTO,IL,MACOUPIN
62261,"MODOC, IL",MODOC,IL,RANDOLPH
60448,"MOKENA, IL",MOKENA,IL,WILL
61265,"MOLINE, IL",MOLINE,IL,ROCK ISLAND
61266,"MOLINE, IL",MOLINE,IL,ROCK ISLAND
60954,"MOMENCE, IL",MOMENCE,IL,KANKAKEE
60449,"MONEE, IL",MONEE,IL,WILL
61462,"MONMOUTH, IL",MONMOUTH,IL,WARREN
61052,"MONROE CENTER, IL",MONROE CENTER,IL,OGLE
60538,"MONTGOMERY, IL",MONTGOMERY,IL,KENDALL
61856,"MONTICELLO, IL",MONTICELLO,IL,PIATT
62445,"MONTROSE, IL",MONTROSE,IL,EFFINGHAM
60539,"MOOSEHEART, IL",MOOSEHEART,IL,KANE
62067,"MORO, IL",MORO,IL,MADISON
60450,"MORRIS, IL",MORRIS,IL,GRUNDY
61270,"MORRISON, IL",MORRISON,IL,WHITESIDE
62546,"MORRISONVILLE, IL",MORRISONVILLE,IL,CHRISTIAN
61550,"MORTON, IL",MORTON,IL,TAZEWELL
60053,"MORTON GROVE, IL",MORTON GROVE,IL,COOK
61552,"MOSSVILLE, IL",MOSSVILLE,IL,PEORIA
62963,"MOUND CITY, IL",MOUND CITY,IL,PULASKI
62964,"MOUNDS, IL",MOUNDS,IL,PULASKI
62547,"MOUNT AUBURN, IL",MOUNT AUBURN,IL,CHRISTIAN
62863,"MOUNT CARMEL, IL",MOUNT CARMEL,IL,WABASH
61053,"MOUNT CARROLL, IL",MOUNT CARROLL,IL,CARROLL
62446,"MOUNT ERIE, IL",MOUNT ERIE,IL,WAYNE
61054,"MOUNT MORRIS, IL",MOUNT MORRIS,IL,OGLE
62069,"MOUNT OLIVE, IL",MOUNT OLIVE,IL,MACOUPIN
60056,"MOUNT PROSPECT, IL",MOUNT PROSPECT,IL,COOK
62548,"MOUNT PULASKI, IL",MOUNT PULASKI,IL,LOGAN
62353,"MOUNT STERLING, IL",MOUNT STERLING,IL,BROWN
62864,"MOUNT VERNON, IL",MOUNT VERNON,IL,JEFFERSON
62550,"MOWEAQUA, IL",MOWEAQUA,IL,CHRISTIAN
62070,"MOZIER, IL",MOZIER,IL,CALHOUN
62549,"MT ZION, IL",MT ZION,IL,MACON
62965,"MUDDY, IL",MUDDY,IL,SALINE
62262,"MULBERRY GROVE, IL",MULBERRY GROVE,IL,BOND
62865,"MULKEYTOWN, IL",MULKEYTOWN,IL,FRANKLIN
61857,"MUNCIE, IL",MUNCIE,IL,VERMILION
60060,"MUNDELEIN, IL",MUNDELEIN,IL,LAKE
62966,"MURPHYSBORO, IL",MURPHYSBORO,IL,JACKSON
62668,"MURRAYVILLE, IL",MURRAYVILLE,IL,MORGAN
61057,"NACHUSA, IL",NACHUSA,IL,LEE
60540,"NAPERVILLE, IL",NAPERVILLE,IL,DUPAGE
60563,"NAPERVILLE, IL",NAPERVILLE,IL,DUPAGE
60565,"NAPERVILLE, IL",NAPERVILLE,IL,DUPAGE
60566,"NAPERVILLE, IL",NAPERVILLE,IL,DUPAGE
60567,"NAPERVILLE, IL",NAPERVILLE,IL,DUPAGE
60564,"NAPERVILLE, IL",NAPERVILLE,IL,WILL
62263,"NASHVILLE, IL",NASHVILLE,IL,WASHINGTON
62866,"NASON, IL",NASON,IL,JEFFERSON
62071,"NATIONAL STOCK YARDS, IL",NATIONAL STOCK YARDS,IL,SAINT CLAIR
62354,"NAUVOO, IL",NAUVOO,IL,HANCOCK
62355,"NEBO, IL",NEBO,IL,PIKE
62447,"NEOGA, IL",NEOGA,IL,CUMBERLAND
61345,"NEPONSET, IL",NEPONSET,IL,BUREAU
62264,"NEW ATHENS, IL",NEW ATHENS,IL,SAINT CLAIR
62265,"NEW BADEN, IL",NEW BADEN,IL,CLINTON
61346,"NEW BEDFORD, IL",NEW BEDFORD,IL,BUREAU
62670,"NEW BERLIN, IL",NEW BERLIN,IL,SANGAMON
61272,"NEW BOSTON, IL",NEW BOSTON,IL,MERCER
62967,"NEW BURNSIDE, IL",NEW BURNSIDE,IL,JOHNSON
62356,"NEW CANTON, IL",NEW CANTON,IL,PIKE
62074,"NEW DOUGLAS, IL",NEW DOUGLAS,IL,MADISON
62867,"NEW HAVEN, IL",NEW HAVEN,IL,GALLATIN
62671,"NEW HOLLAND, IL",NEW HOLLAND,IL,LOGAN
60451,"NEW LENOX, IL",NEW LENOX,IL,WILL
62266,"NEW MEMPHIS, IL",NEW MEMPHIS,IL,CLINTON
62357,"NEW SALEM, IL",NEW SALEM,IL,PIKE
61465,"NEW WINDSOR, IL",NEW WINDSOR,IL,MERCER
60541,"NEWARK, IL",NEWARK,IL,KENDALL
61942,"NEWMAN, IL",NEWMAN,IL,DOUGLAS
62448,"NEWTON, IL",NEWTON,IL,JASPER
62551,"NIANTIC, IL",NIANTIC,IL,MACON
60714,"NILES, IL",NILES,IL,COOK
62672,"NILWOOD, IL",NILWOOD,IL,MACOUPIN
62358,"NIOTA, IL",NIOTA,IL,HANCOCK
62868,"NOBLE, IL",NOBLE,IL,RICHLAND
62075,"NOKOMIS, IL",NOKOMIS,IL,MONTGOMERY
61059,"NORA, IL",NORA,IL,JO DAVIESS
61761,"NORMAL, IL",NORMAL,IL,MCLEAN
61790,"NORMAL, IL",NORMAL,IL,MCLEAN
61553,"NORRIS, IL",NORRIS,IL,FULTON
62869,"NORRIS CITY, IL",NORRIS CITY,IL,WHITE
60542,"NORTH AURORA, IL",NORTH AURORA,IL,KANE
60064,"NORTH CHICAGO, IL",NORTH CHICAGO,IL,LAKE
61466,"NORTH HENDERSON, IL",NORTH HENDERSON,IL,MERCER
60062,"NORTHBROOK, IL",NORTHBROOK,IL,COOK
60065,"NORTHBROOK, IL",NORTHBROOK,IL,COOK
62269,"O FALLON, IL",O FALLON,IL,SAINT CLAIR
60523,"OAK BROOK, IL",OAK BROOK,IL,DUPAGE
60452,"OAK FOREST, IL",OAK FOREST,IL,COOK
60453,"OAK LAWN, IL",OAK LAWN,IL,COOK
60454,"OAK LAWN, IL",OAK LAWN,IL,COOK
60301,"OAK PARK, IL",OAK PARK,IL,COOK
60302,"OAK PARK, IL",OAK PARK,IL,COOK
60303,"OAK PARK, IL",OAK PARK,IL,COOK
60304,"OAK PARK, IL",OAK PARK,IL,COOK
62268,"OAKDALE, IL",OAKDALE,IL,WASHINGTON
62673,"OAKFORD, IL",OAKFORD,IL,MENARD
61943,"OAKLAND, IL",OAKLAND,IL,COLES
61858,"OAKWOOD, IL",OAKWOOD,IL,VERMILION
62449,"OBLONG, IL",OBLONG,IL,CRAWFORD
62553,"OCONEE, IL",OCONEE,IL,SHELBY
60460,"ODELL, IL",ODELL,IL,LIVINGSTON
62870,"ODIN, IL",ODIN,IL,MARION
61859,"OGDEN, IL",OGDEN,IL,CHAMPAIGN
61348,"OGLESBY, IL",OGLESBY,IL,LA SALLE
61349,"OHIO, IL",OHIO,IL,BUREAU
62076,"OHLMAN, IL",OHLMAN,IL,MONTGOMERY
62271,"OKAWVILLE, IL",OKAWVILLE,IL,WASHINGTON
62969,"OLIVE BRANCH, IL",OLIVE BRANCH,IL,ALEXANDER
62970,"OLMSTED, IL",OLMSTED,IL,PULASKI
62450,"OLNEY, IL",OLNEY,IL,RICHLAND
60461,"OLYMPIA FIELDS, IL",OLYMPIA FIELDS,IL,COOK
62871,"OMAHA, IL",OMAHA,IL,GALLATIN
60955,"ONARGA, IL",ONARGA,IL,IROQUOIS
61467,"ONEIDA, IL",ONEIDA,IL,KNOX
62872,"OPDYKE, IL",OPDYKE,IL,JEFFERSON
61468,"OPHIEM, IL",OPHIEM,IL,HENRY
61469,"OQUAWKA, IL",OQUAWKA,IL,HENDERSON
61060,"ORANGEVILLE, IL",ORANGEVILLE,IL,STEPHENSON
62554,"OREANA, IL",OREANA,IL,MACON
61061,"OREGON, IL",OREGON,IL,OGLE
62874,"ORIENT, IL",ORIENT,IL,FRANKLIN
61273,"ORION, IL",ORION,IL,HENRY
60462,"ORLAND PARK, IL",ORLAND PARK,IL,COOK
60467,"ORLAND PARK, IL",ORLAND PARK,IL,COOK
61274,"OSCO, IL",OSCO,IL,HENRY
60543,"OSWEGO, IL",OSWEGO,IL,KENDALL
61350,"OTTAWA, IL",OTTAWA,IL,LA SALLE
62555,"OWANECO, IL",OWANECO,IL,CHRISTIAN
62972,"OZARK, IL",OZARK,IL,JOHNSON
60038,"PALATINE, IL",PALATINE,IL,COOK
60055,"PALATINE, IL",PALATINE,IL,COOK
60067,"PALATINE, IL",PALATINE,IL,COOK
60074,"PALATINE, IL",PALATINE,IL,COOK
60078,"PALATINE, IL",PALATINE,IL,COOK
60094,"PALATINE, IL",PALATINE,IL,COOK
60095,"PALATINE, IL",PALATINE,IL,COOK
62451,"PALESTINE, IL",PALESTINE,IL,CRAWFORD
62556,"PALMER, IL",PALMER,IL,CHRISTIAN
62674,"PALMYRA, IL",PALMYRA,IL,MACOUPIN
62359,"PALOMA, IL",PALOMA,IL,ADAMS
60463,"PALOS HEIGHTS, IL",PALOS HEIGHTS,IL,COOK
60465,"PALOS HILLS, IL",PALOS HILLS,IL,COOK
60464,"PALOS PARK, IL",PALOS PARK,IL,COOK
62557,"PANA, IL",PANA,IL,CHRISTIAN
62077,"PANAMA, IL",PANAMA,IL,MONTGOMERY
60956,"PAPINEAU, IL",PAPINEAU,IL,IROQUOIS
61944,"PARIS, IL",PARIS,IL,EDGAR
60466,"PARK FOREST, IL",PARK FOREST,IL,COOK
60068,"PARK RIDGE, IL",PARK RIDGE,IL,COOK
62452,"PARKERSBURG, IL",PARKERSBURG,IL,RICHLAND
62875,"PATOKA, IL",PATOKA,IL,MARION
62078,"PATTERSON, IL",PATTERSON,IL,GREENE
61353,"PAW PAW, IL",PAW PAW,IL,LEE
62558,"PAWNEE, IL",PAWNEE,IL,SANGAMON
60957,"PAXTON, IL",PAXTON,IL,FORD
62360,"PAYSON, IL",PAYSON,IL,ADAMS
62361,"PEARL, IL",PEARL,IL,PIKE
61062,"PEARL CITY, IL",PEARL CITY,IL,STEPHENSON
61063,"PECATONICA, IL",PECATONICA,IL,WINNEBAGO
61554,"PEKIN, IL",PEKIN,IL,TAZEWELL
61555,"PEKIN, IL",PEKIN,IL,TAZEWELL
61558,"PEKIN, IL",PEKIN,IL,TAZEWELL
60958,"PEMBROKE TOWNSHIP, IL",PEMBROKE TOWNSHIP,IL,KANKAKEE
61862,"PENFIELD, IL",PENFIELD,IL,CHAMPAIGN
61601,"PEORIA, IL",PEORIA,IL,PEORIA
61602,"PEORIA, IL",PEORIA,IL,PEORIA
61603,"PEORIA, IL",PEORIA,IL,PEORIA
61604,"PEORIA, IL",PEORIA,IL,PEORIA
61605,"PEORIA, IL",PEORIA,IL,PEORIA
61606,"PEORIA, IL",PEORIA,IL,PEORIA
61607,"PEORIA, IL",PEORIA,IL,PEORIA
61612,"PEORIA, IL",PEORIA,IL,PEORIA
61613,"PEORIA, IL",PEORIA,IL,PEORIA
61614,"PEORIA, IL",PEORIA,IL,PEORIA
61615,"PEORIA, IL",PEORIA,IL,PEORIA
61625,"PEORIA, IL",PEORIA,IL,PEORIA
61629,"PEORIA, IL",PEORIA,IL,PEORIA
61630,"PEORIA, IL",PEORIA,IL,PEORIA
61634,"PEORIA, IL",PEORIA,IL,PEORIA
61636,"PEORIA, IL",PEORIA,IL,PEORIA
61637,"PEORIA, IL",PEORIA,IL,PEORIA
61639,"PEORIA, IL",PEORIA,IL,PEORIA
61641,"PEORIA, IL",PEORIA,IL,PEORIA
61643,"PEORIA, IL",PEORIA,IL,PEORIA
61650,"PEORIA, IL",PEORIA,IL,PEORIA
61652,"PEORIA, IL",PEORIA,IL,PEORIA
61654,"PEORIA, IL",PEORIA,IL,PEORIA
61656,"PEORIA, IL",PEORIA,IL,PEORIA
61616,"PEORIA HEIGHTS, IL",PEORIA HEIGHTS,IL,PEORIA
60468,"PEOTONE, IL",PEOTONE,IL,WILL
62272,"PERCY, IL",PERCY,IL,RANDOLPH
62973,"PERKS, IL",PERKS,IL,PULASKI
62362,"PERRY, IL",PERRY,IL,PIKE
61354,"PERU, IL",PERU,IL,LA SALLE
61863,"PESOTUM, IL",PESOTUM,IL,CHAMPAIGN
62675,"PETERSBURG, IL",PETERSBURG,IL,MENARD
61864,"PHILO, IL",PHILO,IL,CHAMPAIGN
62079,"PIASA, IL",PIASA,IL,MACOUPIN
62273,"PIERRON, IL",PIERRON,IL,BOND
62274,"PINCKNEYVILLE, IL",PINCKNEYVILLE,IL,PERRY
60959,"PIPER CITY, IL",PIPER CITY,IL,FORD
62974,"PITTSBURG, IL",PITTSBURG,IL,WILLIAMSON
62363,"PITTSFIELD, IL",PITTSFIELD,IL,PIKE
60544,"PLAINFIELD, IL",PLAINFIELD,IL,WILL
60585,"PLAINFIELD, IL",PLAINFIELD,IL,WILL
60586,"PLAINFIELD, IL",PLAINFIELD,IL,WILL
62365,"PLAINVILLE, IL",PLAINVILLE,IL,ADAMS
60545,"PLANO, IL",PLANO,IL,KENDALL
62366,"PLEASANT HILL, IL",PLEASANT HILL,IL,PIKE
62677,"PLEASANT PLAINS, IL",PLEASANT PLAINS,IL,SANGAMON
62367,"PLYMOUTH, IL",PLYMOUTH,IL,HANCOCK
62275,"POCAHONTAS, IL",POCAHONTAS,IL,BOND
61064,"POLO, IL",POLO,IL,OGLE
62975,"POMONA, IL",POMONA,IL,JACKSON
61764,"PONTIAC, IL",PONTIAC,IL,LIVINGSTON
61065,"POPLAR GROVE, IL",POPLAR GROVE,IL,BOONE
61275,"PORT BYRON, IL",PORT BYRON,IL,ROCK ISLAND
60469,"POSEN, IL",POSEN,IL,COOK
61865,"POTOMAC, IL",POTOMAC,IL,VERMILION
61470,"PRAIRIE CITY, IL",PRAIRIE CITY,IL,MCDONOUGH
62277,"PRAIRIE DU ROCHER, IL",PRAIRIE DU ROCHER,IL,RANDOLPH
61276,"PREEMPTION, IL",PREEMPTION,IL,MERCER
61356,"PRINCETON, IL",PRINCETON,IL,BUREAU
61559,"PRINCEVILLE, IL",PRINCEVILLE,IL,PEORIA
61277,"PROPHETSTOWN, IL",PROPHETSTOWN,IL,WHITESIDE
60070,"PROSPECT HEIGHTS, IL",PROSPECT HEIGHTS,IL,COOK
62976,"PULASKI, IL",PULASKI,IL,PULASKI
61560,"PUTNAM, IL",PUTNAM,IL,PUTNAM
62301,"QUINCY, IL",QUINCY,IL,ADAMS
62305,"QUINCY, IL",QUINCY,IL,ADAMS
62306,"QUINCY, IL",QUINCY,IL,ADAMS
62876,"RADOM, IL",RADOM,IL,WASHINGTON
62977,"RALEIGH, IL",RALEIGH,IL,SALINE
62080,"RAMSEY, IL",RAMSEY,IL,FAYETTE
60960,"RANKIN, IL",RANKIN,IL,VERMILION
60470,"RANSOM, IL",RANSOM,IL,LA SALLE
61866,"RANTOUL, IL",RANTOUL,IL,CHAMPAIGN
61278,"RAPIDS CITY, IL",RAPIDS CITY,IL,ROCK ISLAND
61471,"RARITAN, IL",RARITAN,IL,HENDERSON
62560,"RAYMOND, IL",RAYMOND,IL,MONTGOMERY
62278,"RED BUD, IL",RED BUD,IL,RANDOLPH
60961,"REDDICK, IL",REDDICK,IL,KANKAKEE
61949,"REDMON, IL",REDMON,IL,EDGAR
62279,"RENAULT, IL",RENAULT,IL,MONROE
61279,"REYNOLDS, IL",REYNOLDS,IL,ROCK ISLAND
60071,"RICHMOND, IL",RICHMOND,IL,MCHENRY
60471,"RICHTON PARK, IL",RICHTON PARK,IL,COOK
62877,"RICHVIEW, IL",RICHVIEW,IL,WASHINGTON
61870,"RIDGE FARM, IL",RIDGE FARM,IL,VERMILION
62979,"RIDGWAY, IL",RIDGWAY,IL,GALLATIN
61067,"RIDOTT, IL",RIDOTT,IL,STEPHENSON
62878,"RINARD, IL",RINARD,IL,WAYNE
60072,"RINGWOOD, IL",RINGWOOD,IL,MCHENRY
61472,"RIO, IL",RIO,IL,KNOX
60305,"RIVER FOREST, IL",RIVER FOREST,IL,COOK
60171,"RIVER GROVE, IL",RIVER GROVE,IL,COOK
60827,"RIVERDALE, IL",RIVERDALE,IL,COOK
60546,"RIVERSIDE, IL",RIVERSIDE,IL,COOK
62561,"RIVERTON, IL",RIVERTON,IL,SANGAMON
61561,"ROANOKE, IL",ROANOKE,IL,WOODFORD
60472,"ROBBINS, IL",ROBBINS,IL,COOK
60962,"ROBERTS, IL",ROBERTS,IL,FORD
62454,"ROBINSON, IL",ROBINSON,IL,CRAWFORD
61068,"ROCHELLE, IL",ROCHELLE,IL,OGLE
62563,"ROCHESTER, IL",ROCHESTER,IL,SANGAMON
61070,"ROCK CITY, IL",ROCK CITY,IL,STEPHENSON
61071,"ROCK FALLS, IL",ROCK FALLS,IL,WHITESIDE
61201,"ROCK ISLAND, IL",ROCK ISLAND,IL,ROCK ISLAND
61204,"ROCK ISLAND, IL",ROCK ISLAND,IL,ROCK ISLAND
61299,"ROCK ISLAND, IL",ROCK ISLAND,IL,ROCK ISLAND
62081,"ROCKBRIDGE, IL",ROCKBRIDGE,IL,GREENE
61101,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61102,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61103,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61104,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61105,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61106,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61107,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61108,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61109,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61110,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61112,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61114,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61125,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
61126,"ROCKFORD, IL",ROCKFORD,IL,WINNEBAGO
