CY,patient_zip,Cases,,
2020,60428,23,,
2021,60428,24,,
2020,60429,15,,
2021,60429,17,,
2020,60430,15,,
2021,60430,*,,
2020,60431,30,,
2021,60431,24,,
2020,60432,28,,
2021,60432,37,,
2020,60433,40,,
2021,60433,35,,
2020,60434,*,,
2021,60434,*,,
2020,60435,97,,
2021,60435,88,,
2020,60436,34,,
2021,60436,47,,
2020,60438,23,,
2021,60438,21,,
2020,60439,15,,
2021,60439,33,,
2020,60440,57,,
2021,60440,55,,
2020,60441,48,,
2021,60441,46,,
2020,60442,*,,
2021,60442,*,,
2020,60443,12,,
2021,60443,30,,
2020,60444,*,,
2021,60444,*,,
2020,60445,33,,
2021,60445,24,,
2020,60446,32,,
2021,60446,42,,
2020,60447,16,,
2021,60447,12,,
2020,60448,35,,
2021,60448,37,,
2020,60449,*,,
2021,60449,*,,
2020,60450,37,,
2021,60450,26,,
2020,60451,49,,
2021,60451,29,,
2020,60452,28,,
2021,60452,38,,
2020,60453,89,,
2021,60453,80,,
2021,60454,*,,
2020,60455,43,,
2021,60455,32,,
2020,60456,*,,
2021,60456,*,,
2020,60457,17,,
2021,60457,20,,
2020,60458,26,,
2021,60458,38,,
2020,60459,43,,
2021,60459,48,,
2020,60461,*,,
2021,60461,*,,
2020,60462,34,,
2021,60462,26,,
2020,60463,15,,
2021,60463,12,,
2020,60464,*,,
2021,60464,13,,
2020,60465,32,,
2021,60465,25,,
2020,60466,33,,
2021,60466,29,,
2020,60467,12,,
2021,60467,22,,
2020,60468,*,,
2021,60468,*,,
2020,60469,*,,
2021,60469,*,,
2021,60470,*,,
2020,60471,14,,
2021,60471,10,,
2020,60472,13,,
2021,60472,16,,
2020,60473,25,,
2021,60473,27,,
2020,60474,*,,
2021,60474,*,,
2020,60475,*,,
2021,60475,14,,
2020,60476,*,,
2021,60476,*,,
2020,60477,60,,
2021,60477,53,,
2020,60478,20,,
2021,60478,22,,
2020,60480,*,,
2021,60480,*,,
2020,60481,38,,
2021,60481,27,,
2020,60482,43,,
2021,60482,25,,
2020,60484,*,,
2021,60484,11,,
2020,60487,20,,
2021,60487,21,,
2020,60490,16,,
2021,60490,*,,
2020,60491,11,,
2021,60491,12,,
2020,60501,21,,
2021,60501,33,,
2020,60502,*,,
2021,60502,*,,
2020,60503,*,,
2021,60503,*,,
