CY,patient_zip,Cases,,
2021,62421,*,,
2021,62422,*,,
2021,62424,*,,
2020,62427,*,,
2020,62428,*,,
2021,62428,*,,
2021,62438,*,,
2020,62439,*,,
2021,62439,*,,
2021,62440,*,,
2020,62441,*,,
2021,62441,*,,
2020,62442,*,,
2020,62447,*,,
2020,62448,*,,
2021,62448,*,,
2020,62450,*,,
2021,62450,*,,
2020,62451,*,,
2020,62454,*,,
2021,62454,*,,
2020,62458,*,,
2021,62458,*,,
2021,62460,*,,
2020,62467,*,,
2021,62467,*,,
2020,62468,*,,
2020,62471,*,,
2021,62471,11,,
2020,62476,*,,
2020,62479,*,,
2021,62479,*,,
2020,62513,*,,
2020,62520,*,,
2020,62521,36,,
2021,62521,35,,
2020,62522,20,,
2021,62522,22,,
2020,62523,*,,
2021,62523,*,,
2020,62526,45,,
2021,62526,48,,
2021,62530,*,,
2020,62531,*,,
2020,62537,*,,
2020,62540,*,,
2021,62540,*,,
2020,62544,*,,
2021,62544,*,,
2020,62545,*,,
2021,62547,*,,
2020,62548,*,,
2021,62548,*,,
2021,62549,*,,
2021,62550,*,,
2020,62551,*,,
2020,62555,*,,
2021,62555,*,,
2020,62556,*,,
2020,62557,*,,
2021,62557,*,,
2020,62558,*,,
2021,62558,*,,
2020,62560,*,,
2020,62561,*,,
2021,62561,*,,
2020,62563,*,,
2021,62563,*,,
2020,62565,*,,
2021,62565,*,,
2020,62567,*,,
2021,62567,*,,
2020,62568,18,,
2021,62568,12,,
2020,62570,*,,
2021,62573,*,,
2021,62611,*,,
2020,62612,*,,
2021,62612,*,,
2020,62613,*,,
2021,62613,*,,
2020,62615,*,,
2021,62615,*,,
2021,62617,*,,
2020,62618,*,,
2021,62618,*,,
2021,62624,*,,
2020,62626,11,,
2021,62626,*,,
2021,62627,*,,
2020,62629,*,,
2021,62629,*,,
2021,62631,*,,
2021,62634,*,,
2020,62635,*,,
2021,62639,*,,
2021,62640,*,,
2021,62642,*,,
2020,62643,*,,
2020,62644,*,,
2021,62644,*,,
2020,62650,26,,
2021,62650,35,,
2020,62656,21,,
2021,62656,22,,
2020,62661,*,,
2021,62661,*,,
2020,62664,*,,
2020,62665,*,,
2021,62665,*,,
2020,62666,*,,
2021,62668,*,,
2020,62670,*,,
2021,62670,*,,
2021,62671,*,,
2020,62672,*,,
2020,62674,*,,
2020,62675,*,,
2021,62675,*,,
2020,62677,*,,
2021,62677,*,,
2020,62681,*,,
2021,62681,*,,
2020,62684,*,,
2021,62684,*,,
2020,62685,*,,
2021,62685,*,,
2020,62688,*,,
2020,62689,*,,
2020,62690,*,,
2021,62690,*,,
2020,62691,*,,
2020,62692,*,,
2021,62692,*,,
2020,62693,*,,
2020,62694,*,,
2021,62694,*,,
2021,62695,*,,
2020,62701,*,,
2021,62701,*,,
2020,62702,80,,
2021,62702,94,,
2020,62703,72,,
2021,62703,95,,
2020,62704,35,,
2021,62704,51,,
2020,62707,*,,
2021,62707,*,,
2020,62711,*,,
2021,62711,*,,
2020,62712,*,,
2021,62712,*,,
2020,62781,*,,
2021,62781,*,,
2020,62801,63,,
2021,62801,51,,
2020,62806,*,,
2020,62807,*,,
2021,62807,*,,
2020,62808,*,,
2020,62812,*,,
2021,62812,*,,
2020,62814,*,,
2020,62816,*,,
2021,62816,*,,
2020,62819,*,,
2020,62821,*,,
2021,62821,*,,
2020,62822,*,,
2021,62822,*,,
2020,62824,*,,
2021,62824,*,,
2021,62827,*,,
2020,62830,*,,
2021,62830,*,,
2020,62832,10,,
2021,62832,*,,
2021,62837,15,,
2020,62838,*,,
2021,62838,*,,
2020,62839,*,,
2021,62839,*,,
2020,62842,*,,
2021,62842,*,,
2020,62848,*,,
2020,62849,*,,
2021,62849,*,,
2020,62853,*,,
2020,62854,*,,
2021,62854,*,,
2020,62858,*,,
2021,62858,*,,
2020,62859,*,,
2021,62859,*,,
2021,62862,*,,
2020,62863,*,,
2021,62863,*,,
2020,62864,34,,
2021,62864,30,,
2021,62868,*,,
2020,62870,*,,
2021,62870,*,,
2020,62872,*,,
2021,62872,*,,
2021,62877,*,,
2020,62881,23,,
2021,62881,28,,
2020,62882,*,,
2021,62882,*,,
2020,62884,*,,
2021,62884,*,,
2020,62885,*,,
2021,62885,*,,
2020,62889,*,,
2020,62890,*,,
2021,62890,*,,
2020,62891,*,,
2020,62892,*,,
2021,62895,*,,
2020,62896,*,,
2021,62896,10,,
2021,62897,*,,
2020,62898,*,,
2021,62898,*,,
2020,62899,*,,
2020,62901,24,,
2021,62901,18,,
2020,62902,*,,
2021,62902,*,,
2020,62903,*,,
2021,62903,*,,
2021,62906,*,,
2020,62907,*,,
2021,62907,*,,
2020,62908,*,,
2021,62910,*,,
2020,62912,*,,
2021,62914,*,,
2020,62916,*,,
2021,62917,*,,
2020,62918,*,,
2021,62918,*,,
2021,62920,*,,
2020,62921,*,,
2020,62922,*,,
2021,62922,*,,
2020,62923,*,,
2020,62924,*,,
2021,62924,*,,
2020,62930,*,,
2021,62930,*,,
2020,62932,*,,
2020,62933,*,,
2021,62933,*,,
2020,62934,*,,
2020,62938,*,,
2020,62939,*,,
2021,62939,*,,
2020,62940,*,,
2020,62941,*,,
2021,62942,*,,
2020,62946,*,,
2021,62946,11,,
2020,62948,*,,
2021,62948,*,,
2020,62949,*,,
2021,62949,*,,
2020,62951,*,,
2021,62951,*,,
2020,62952,*,,
2021,62952,*,,
2020,62954,*,,
2020,62956,*,,
2020,62958,*,,
2021,62958,*,,
2020,62959,22,,
2021,62959,24,,
2020,62960,*,,
2021,62960,*,,
2021,62961,*,,
2020,62966,24,,
2021,62966,10,,
2021,62967,*,,
2021,62972,*,,
2021,62977,*,,
2021,62979,*,,
2021,62982,*,,
2021,62983,*,,
2021,62984,*,,
2020,62985,*,,
2021,62985,*,,
2020,62987,*,,
2021,62988,*,,
2020,62995,*,,
2021,62995,*,,
2020,62997,*,,
2020,62998,*,,
2021,62998,*,,
2020,62999,*,,
2021,62999,*,,
